timestamp_g_arrwAdc1Data[0];g_arrwAdc1Data[0];timestamp_g_arrwAdc1Data[1];g_arrwAdc1Data[1]
1683400444995;4087;1683400444995;4086
1683400444995;4092;1683400444995;4094
1683400444996;4095;1683400444996;4091
1683400444996;4095;1683400444996;4093
1683400444996;4087;1683400444996;4090
1683400444997;4092;1683400444997;4095
1683400444997;4087;1683400444997;4091
1683400444998;4090;1683400444998;4090
1683400444998;4089;1683400444998;4088
1683400444999;4089;1683400444999;4093
1683400444999;4093;1683400444999;4089
1683400445000;4089;1683400445000;4087
1683400445000;4090;1683400445000;4095
1683400445001;4093;1683400445001;4094
1683400445001;4095;1683400445001;4095
1683400445002;4092;1683400445002;4089
1683400445002;4090;1683400445002;4095
1683400445003;4095;1683400445003;4095
1683400445003;4091;1683400445003;4090
1683400445003;4092;1683400445003;4089
1683400445004;4083;1683400445004;4092
1683400445004;4090;1683400445004;4093
1683400445005;4090;1683400445005;4091
1683400445005;4093;1683400445005;4089
1683400445006;4090;1683400445006;4088
1683400445006;4095;1683400445006;4095
1683400445007;4091;1683400445007;4084
1683400445007;4094;1683400445007;4090
1683400445007;4093;1683400445007;4089
1683400445008;4087;1683400445008;4095
1683400445008;4088;1683400445008;4095
1683400445009;4083;1683400445009;4095
1683400445010;4085;1683400445010;4095
1683400445011;4094;1683400445011;4092
1683400445011;4090;1683400445011;4091
1683400445012;4091;1683400445012;4088
1683400445012;4089;1683400445012;4093
1683400445012;4095;1683400445012;4094
1683400445013;4092;1683400445013;4081
1683400445013;4088;1683400445013;4089
1683400445014;4093;1683400445014;4090
1683400445014;4089;1683400445014;4093
1683400445015;4092;1683400445015;4095
1683400445015;4088;1683400445015;4092
1683400445016;4089;1683400445016;4093
1683400445016;4078;1683400445016;4093
1683400445016;4092;1683400445016;4089
1683400445017;4088;1683400445017;4094
1683400445017;4090;1683400445017;4091
1683400445018;4087;1683400445018;4091
1683400445018;4091;1683400445018;4095
1683400445019;4095;1683400445019;4088
1683400445019;4090;1683400445019;4092
1683400445020;4089;1683400445020;4094
1683400445020;4091;1683400445020;4090
1683400445021;4095;1683400445021;4090
1683400445021;4093;1683400445021;4094
1683400445022;4088;1683400445022;4084
1683400445022;4095;1683400445022;4094
1683400445022;4094;1683400445022;4092
1683400445023;4089;1683400445023;4090
1683400445023;4094;1683400445023;4088
1683400445024;4095;1683400445024;4090
1683400445024;4093;1683400445024;4089
1683400445025;4087;1683400445025;4092
1683400445025;4095;1683400445025;4091
1683400445026;4078;1683400445026;4090
1683400445026;4091;1683400445026;4087
1683400445027;4088;1683400445027;4089
1683400445027;4089;1683400445027;4088
1683400445027;4091;1683400445027;4090
1683400445028;4095;1683400445028;4089
1683400445028;4093;1683400445028;4093
1683400445029;4089;1683400445029;4095
1683400445029;4095;1683400445029;4087
1683400445030;4095;1683400445030;4092
1683400445030;4095;1683400445030;4093
1683400445031;4095;1683400445031;4095
1683400445031;4087;1683400445031;4086
1683400445032;4087;1683400445032;4088
1683400445032;4093;1683400445032;4088
1683400445033;4091;1683400445033;4089
1683400445033;4091;1683400445033;4094
1683400445034;4087;1683400445034;4095
1683400445034;4093;1683400445034;4095
1683400445035;4085;1683400445035;4092
1683400445035;4095;1683400445035;4091
1683400445035;4085;1683400445035;4092
1683400445036;4095;1683400445036;4093
1683400445036;4095;1683400445036;4088
1683400445037;4094;1683400445037;4089
1683400445037;4088;1683400445037;4092
1683400445038;4093;1683400445038;4093
1683400445038;4095;1683400445038;4094
1683400445039;4091;1683400445039;4090
1683400445039;4092;1683400445039;4095
1683400445040;4092;1683400445040;4087
1683400445040;4093;1683400445040;4091
1683400445040;4084;1683400445040;4090
1683400445041;4094;1683400445041;4092
1683400445041;4093;1683400445041;4095
1683400445042;4091;1683400445042;4090
1683400445042;4093;1683400445042;4095
1683400445043;4086;1683400445043;4093
1683400445043;4093;1683400445043;4090
1683400445044;4095;1683400445044;4089
1683400445044;4091;1683400445044;4091
1683400445045;4092;1683400445045;4095
1683400445045;4091;1683400445045;4090
1683400445046;4095;1683400445046;4095
1683400445046;4092;1683400445046;4079
1683400445047;4089;1683400445047;4084
1683400445047;4092;1683400445047;4095
1683400445047;4095;1683400445047;4094
1683400445048;4091;1683400445048;4095
1683400445048;4095;1683400445048;4089
1683400445049;4082;1683400445049;4087
1683400445050;4095;1683400445050;4090
1683400445052;4095;1683400445052;4084
1683400445052;4094;1683400445052;4095
1683400445052;4091;1683400445052;4095
1683400445053;4083;1683400445053;4094
1683400445053;4084;1683400445053;4087
1683400445054;4095;1683400445054;4087
1683400445054;4092;1683400445054;4093
1683400445055;4095;1683400445055;4095
1683400445055;4095;1683400445055;4090
1683400445055;4095;1683400445055;4095
1683400445056;4094;1683400445056;4093
1683400445056;4093;1683400445056;4093
1683400445057;4091;1683400445057;4087
1683400445057;4091;1683400445057;4093
1683400445058;4093;1683400445058;4091
1683400445058;4089;1683400445058;4091
1683400445058;4093;1683400445058;4086
1683400445059;4095;1683400445059;4095
1683400445059;4090;1683400445059;4094
1683400445060;4090;1683400445060;4095
1683400445060;4090;1683400445060;4095
