time	V(vout)
7.711309523809521e-004	9.787252e-001
7.714285714285711e-004	9.789200e-001
7.738095238095234e-004	9.765921e-001
7.741071428571425e-004	9.767966e-001
7.770833333333331e-004	9.837006e-001
7.773809523809521e-004	9.838940e-001
7.797619047619044e-004	9.815542e-001
7.800595238095235e-004	9.817572e-001
7.830357142857140e-004	9.886465e-001
7.833333333333330e-004	9.888384e-001
7.857142857142853e-004	9.864868e-001
7.860119047619044e-004	9.866884e-001
7.889880952380950e-004	9.935631e-001
7.892857142857141e-004	9.937534e-001
7.916666666666663e-004	9.913902e-001
7.919642857142854e-004	9.915904e-001
7.949404761904759e-004	9.984504e-001
7.952380952380950e-004	9.986393e-001
7.976190476190472e-004	9.962645e-001
7.979166666666664e-004	9.964632e-001
8.008928571428569e-004	1.003309e+000
8.011904761904760e-004	1.003496e+000
8.012023809523807e-004	1.003484e+000
8.035714285714282e-004	1.001110e+000
8.038690476190473e-004	1.001307e+000
8.068452380952378e-004	1.008138e+000
8.071428571428569e-004	1.008324e+000
8.095238095238091e-004	1.005926e+000
8.098214285714283e-004	1.006122e+000
8.127976190476188e-004	1.012939e+000
8.130952380952379e-004	1.013124e+000
8.154761904761901e-004	1.010714e+000
8.157738095238092e-004	1.010909e+000
8.187499999999997e-004	1.017712e+000
8.190476190476188e-004	1.017895e+000
8.214285714285710e-004	1.015474e+000
8.217261904761902e-004	1.015667e+000
8.247023809523807e-004	1.022456e+000
8.249999999999998e-004	1.022637e+000
8.273809523809521e-004	1.020205e+000
8.276785714285711e-004	1.020397e+000
8.306547619047616e-004	1.027171e+000
8.309523809523807e-004	1.027352e+000
8.333333333333330e-004	1.024909e+000
8.336309523809520e-004	1.025099e+000
8.366071428571425e-004	1.031859e+000
8.369047619047616e-004	1.032038e+000
8.392857142857139e-004	1.029584e+000
8.395833333333329e-004	1.029773e+000
8.425595238095235e-004	1.036519e+000
8.428571428571426e-004	1.036697e+000
8.452380952380949e-004	1.034232e+000
8.455357142857139e-004	1.034419e+000
8.485119047619044e-004	1.041152e+000
8.488095238095235e-004	1.041328e+000
8.511904761904758e-004	1.038852e+000
8.514880952380948e-004	1.039038e+000
8.544642857142854e-004	1.045757e+000
8.547619047619045e-004	1.045932e+000
8.571428571428568e-004	1.043444e+000
8.574404761904758e-004	1.043629e+000
8.604166666666663e-004	1.050334e+000
8.607142857142854e-004	1.050508e+000
8.630952380952377e-004	1.048010e+000
8.633928571428568e-004	1.048193e+000
8.663690476190474e-004	1.054885e+000
8.666666666666664e-004	1.055057e+000
8.690476190476187e-004	1.052548e+000
8.693452380952377e-004	1.052730e+000
8.723214285714283e-004	1.059408e+000
8.726190476190473e-004	1.059579e+000
8.749999999999996e-004	1.057059e+000
8.752976190476188e-004	1.057240e+000
8.782738095238093e-004	1.063905e+000
8.785714285714283e-004	1.064074e+000
8.809523809523806e-004	1.061544e+000
8.812499999999997e-004	1.061723e+000
8.842261904761902e-004	1.068375e+000
8.845238095238092e-004	1.068543e+000
8.869047619047615e-004	1.066002e+000
8.872023809523807e-004	1.066180e+000
8.901785714285712e-004	1.072818e+000
8.904761904761902e-004	1.072985e+000
8.928571428571425e-004	1.070433e+000
8.931547619047616e-004	1.070610e+000
